source,target
2725,848
2459,348574
844,348943
67890,196602
76,196611
2699,24066
1315,1059
2459,826
2459,71
3537,348948
2906,196602
71,23984
72,2902
18082,19749
71,348542
25691,25661
2699,347422
1315,1157
1888,82
71,32843
79,196741
826,918
2743,173217
25691,25679
3339,24995
1315,23986
2991,19749
71,23698
2222,348557
2615,1302
92,197550
2177,348651
4999,348598
10067,19749
36822,3539
2459,196621
71,918
657,348543
10065,196657
71,2775
73,2174
78820,238634
2504,347420
3014,19749
2108,348554
2928,24474
22399,42122
3466,19749
7380,216080
36823,2775
67890,1990
36822,25826
13140,4957
2921,238634
2972,196602
2725,1716
1316,196608
36822,42185
2889,24391
2177,348557
4999,348581
4134,196595
2421,23696
22399,196657
5710,199197
25691,25650
76,196621
2077,196631
72,196608
844,348944
2889,23743
1888,21482
2425,266378
657,348658
36823,1054
92,201290
4134,348557
4134,221006
826,263
83,657
2925,24467
92,19749
3503,4410
2615,348556
86,851
1888,7890
4999,10261
72,3462
2459,220826
3488,348557
3339,260906
92,196658
71,23983
821,2071
3493,25221
36823,851
2236,19749
1315,196743
9508,32116
86,1166
79,2229
1315,20906
71,2459
92,83
3493,348557
92,73
2615,196733
3013,30681
25691,25640
18351,199878
2354,23582
2660,196595
2177,196602
3469,18317
2222,196599
3488,348543
19124,348587
92,851
3893,348557
92,17227
3462,199197
92,11127
92,197025
71,32835
2859,196658
2902,196602
4967,199878
93,196612
3748,19749
3492,19749
10065,221006
36822,23984
9798,32309
72,196609
92,196656
92,1054
86,72
2459,348576
1888,2453
3247,197563
4999,348602
3537,46508
657,14657
92,197524
1888,19616
831,348543
2370,348598
73,3842
22399,208530
92,14983
1315,348587
853,212790
92,197024
13140,348557
3014,196657
25691,25687
36822,23982
92,2641
92,196648
3493,348554
2504,23816
1315,23995
71,36822
22399,348587
18082,348481
1315,20911
10065,174788
2459,197099
17493,1157
3469,19749
4999,227152
2179,19749
4986,347431
71,3539
71,32832
4986,348557
36823,348541
2921,22362
4125,19749
2354,196602
19124,348570
9508,12706
2902,263
3014,24602
1315,23983
2425,43390
2421,23695
2442,23744
6584,196595
15355,35528
4115,196602
72,1305
1315,6079
92,6594
1315,23984
5199,216080
4134,196602
2660,197654
92,50917
3472,196595
2925,24468
2725,24087
10071,348543
71,858
19862,4040
2126,173059
2925,348493
2236,199197
1892,348543
5203,200610
5710,38346
